The output is formatted as follows: 
pindex   time    deltaT    dlambda   trial  simp38   simp   trap 
69 500000 0.005 0.05 2 1.38875 1.3883 1.40666
69 500000 0.005 0.05 3 1.38875 1.3883 1.40666
69 500000 0.005 0.05 4 1.38875 1.3883 1.40666

70 500000 0.1 0.02 0 1.58797 1.588 1.59128
70 500000 0.1 0.02 1 1.58797 1.588 1.59128
70 500000 0.1 0.02 2 1.58797 1.588 1.59128
70 500000 0.1 0.02 3 1.58797 1.588 1.59128
70 500000 0.1 0.02 4 1.58797 1.588 1.59128

71 500000 0.05 0.02 0 1.43518 1.43653 1.4378
71 500000 0.05 0.02 1 1.43518 1.43653 1.4378
71 500000 0.05 0.02 2 1.43518 1.43653 1.4378
71 500000 0.05 0.02 3 1.43518 1.43653 1.4378
71 500000 0.05 0.02 4 1.43518 1.43653 1.4378

72 500000 0.02 0.02 0 1.38526 1.38592 1.38802
72 500000 0.02 0.02 1 1.38526 1.38592 1.38802
72 500000 0.02 0.02 2 1.38526 1.38592 1.38802
72 500000 0.02 0.02 3 1.38526 1.38592 1.38802
72 500000 0.02 0.02 4 1.38526 1.38592 1.38802

73 500000 0.01 0.02 0 1.39689 1.39518 1.40426
73 500000 0.01 0.02 1 1.39689 1.39518 1.40426
73 500000 0.01 0.02 2 1.39689 1.39518 1.40426
73 500000 0.01 0.02 3 1.39689 1.39518 1.40426
73 500000 0.01 0.02 4 1.39689 1.39518 1.40426

74 500000 0.005 0.02 0 1.38126 1.38436 1.38522
74 500000 0.005 0.02 1 1.38126 1.38436 1.38522
74 500000 0.005 0.02 2 1.38126 1.38436 1.38522
74 500000 0.005 0.02 3 1.38126 1.38436 1.38522
74 500000 0.005 0.02 4 1.38126 1.38436 1.38522

75 500000 0.1 0.01 0 1.59143 1.5928 1.59352
75 500000 0.1 0.01 1 1.59143 1.5928 1.59352
75 500000 0.1 0.01 2 1.59143 1.5928 1.59352
75 500000 0.1 0.01 3 1.59143 1.5928 1.59352
75 500000 0.1 0.01 4 1.59143 1.5928 1.59352

76 500000 0.05 0.01 0 1.42778 1.42827 1.42806
76 500000 0.05 0.01 1 1.42778 1.42827 1.42806
76 500000 0.05 0.01 2 1.42778 1.42827 1.42806
76 500000 0.05 0.01 3 1.42778 1.42827 1.42806
76 500000 0.05 0.01 4 1.42778 1.42827 1.42806

77 500000 0.02 0.01 0 1.3877 1.38946 1.3884
77 500000 0.02 0.01 1 1.3877 1.38946 1.3884
77 500000 0.02 0.01 2 1.3877 1.38946 1.3884
77 500000 0.02 0.01 3 1.3877 1.38946 1.3884
77 500000 0.02 0.01 4 1.3877 1.38946 1.3884

78 500000 0.01 0.01 0 1.3777 1.37934 1.37684
78 500000 0.01 0.01 1 1.3777 1.37934 1.37684
78 500000 0.01 0.01 2 1.3777 1.37934 1.37684
78 500000 0.01 0.01 3 1.3777 1.37934 1.37684
78 500000 0.01 0.01 4 1.3777 1.37934 1.37684

79 500000 0.005 0.01 0 1.3999 1.39125 1.39931
79 500000 0.005 0.01 1 1.3999 1.39125 1.39931
79 500000 0.005 0.01 2 1.3999 1.39125 1.39931
79 500000 0.005 0.01 3 1.3999 1.39125 1.39931
79 500000 0.005 0.01 4 1.3999 1.39125 1.39931

